Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 000016s	Train Epoch: 01 [000640/235930] (0%)	Loss: 27625.050940	Cross Entropy: 1.4805	ELBO: 27623.5703	Accuracy: 0.518750
Time: 000031s	Train Epoch: 01 [001280/235930] (1%)	Loss: 13826.648332	Cross Entropy: 1.3750	ELBO: 13825.2733	Accuracy: 0.528906
Time: 000046s	Train Epoch: 01 [001920/235930] (1%)	Loss: 9218.092367	Cross Entropy: 1.2347	ELBO: 9216.8577	Accuracy: 0.554167
Time: 000062s	Train Epoch: 01 [002560/235930] (1%)	Loss: 6913.790739	Cross Entropy: 1.1475	ELBO: 6912.6432	Accuracy: 0.576172
Time: 000077s	Train Epoch: 01 [003200/235930] (1%)	Loss: 5531.184421	Cross Entropy: 1.0698	ELBO: 5530.1146	Accuracy: 0.597812
Time: 000093s	Train Epoch: 01 [003840/235930] (2%)	Loss: 4609.438703	Cross Entropy: 1.0099	ELBO: 4608.4288	Accuracy: 0.614844
Time: 000109s	Train Epoch: 01 [004480/235930] (2%)	Loss: 3951.034574	Cross Entropy: 0.9527	ELBO: 3950.0819	Accuracy: 0.629687
Time: 000125s	Train Epoch: 01 [005120/235930] (2%)	Loss: 3457.231027	Cross Entropy: 0.9094	ELBO: 3456.3216	Accuracy: 0.644336
Time: 000141s	Train Epoch: 01 [005760/235930] (2%)	Loss: 3073.154812	Cross Entropy: 0.8689	ELBO: 3072.2859	Accuracy: 0.652604
Time: 000157s	Train Epoch: 01 [006400/235930] (3%)	Loss: 2765.893170	Cross Entropy: 0.8359	ELBO: 2765.0573	Accuracy: 0.662344
Time: 000173s	Train Epoch: 01 [007040/235930] (3%)	Loss: 2514.492031	Cross Entropy: 0.8036	ELBO: 2513.6885	Accuracy: 0.672585
